Warehouse,Product Code,Location,Quantity
1. Cores,Core-11063,R3A,81
1. Cores,Core-11064,R3A,81
1. Cores,Core-11065,R3A,77
1. Cores,Core-11066,R3A,82
1. Cores,Core-11067,R3A,177
1. Cores,Core-11068,R3A,81
1. Cores,Core-11169,R3B,49
1. Cores,Core-11220,R3C,500
1. Cores,Core-10059,R3D,1124
1. Cores,Core-11170,R3D,3
1. Cores,Core-11783,R3E,28
1. Cores,Core-11784,R3E,1
1. Cores,Core-10069,R4B,139
1. Cores,Core-10106,R4B,15
1. Cores,Core-10107,R4B,548
1. Cores,Core-10108,R4B,50
1. Cores,Core-10116,R4B,6494
1. Cores,Core-10117,R4B,2960
1. Cores,Core-10903,R4B,26
1. Cores,Core-11010,R4B,119
1. Cores,Core-11059,R4B,2200
1. Cores,Core-11112,R4B,"1,738"
1. Cores,Core-11119,R4B,"2,190"
1. Cores,Core-11130,R4B,"1,721"
1. Cores,Core-11227,R4B,6
1. Cores,Core-11281,R4B,50
1. Cores,Core-11031,R4C,6
1. Cores,Core-11070,R4C,"5,007"
1. Cores,Core-11072,R4C,"1,000"
1. Cores,Core-11222,R4C,18
1. Cores,Core-11223,R4C,20
1. Cores,Core-11459,R4C,22
1. Cores,Core-11208,R4D,"18,337"
1. Cores,Core-10220,R4E,"8,000"
1. Cores,Core-10064,R5B,270
1. Cores,Core-10117,R5B,"2,498"
1. Cores,Core-10806,R5B,"2,000"
1. Cores,Core-10919,R5B,"1,836"
1. Cores,Core-10998,R5B,249
1. Cores,Core-10999,R5B,264
1. Cores,Core-11026,R5B,54
1. Cores,Core-11027,R5B,1
1. Cores,Core-11039,R5B,958
1. Cores,Core-11042,R5B,322
1. Cores,Core-10095,R5C,"5,590"
1. Cores,Core-10096,R5C,"4,493"
1. Cores,Core-10097,R5C,4493
1. Cores,Core-10100,R5C,"5,128"
1. Cores,Core-10905,R5C,63
1. Cores,Core-10906,R5C,249
1. Cores,Core-11027,R5C,18
1. Cores,Core-11041,R5C,36
1. Cores,Core-11178,R5C,"1,452"
1. Cores,Core-10058,R5D,792
1. Cores,Core-10062,R5D,924
1. Cores,Core-10063,R5D,1424
1. Cores,Core-10098,R5D,4493
1. Cores,Core-10099,R5D,"4,493"
1. Cores,Core-10102,R5D,5395
1. Cores,Core-10907,R5D,700
1. Cores,Core-11078,R5D,"1,393"
1. Cores,Core-11079,R5D,4341
1. Cores,Core-11502,R5D,1627
1. Cores,Core-11093,R5E,420
1. Cores,Core-11083,R6A,"2,576"
1. Cores,Core-11088,R6A,"7,606"
1. Cores,Core-10176,R6B,120
1. Cores,Core-10179,R6B,40
1. Cores,Core-10180,R6B,40
1. Cores,Core-11087,R6B,367
1. Cores,Core-11174,R6B,20
1. Cores,Core-11009,R6C,"4,785"
1. Cores,Core-11016,R6C,17
1. Cores,Core-11017,R6C,8
1. Cores,Core-11098,R6C,24
1. Cores,Core-11103,R6C,4
1. Cores,Core-11111,R6C,24
1. Cores,Core-11123,R6C,10
1. Cores,Core-11127,R6C,1
1. Cores,Core-11128,R6C,1
1. Cores,Core-11173,R6C,20
1. Cores,Core-11175,R6C,5
1. Cores,Core-11176,R6C,20
1. Cores,Core-11425,R6C,24
1. Cores,Core-11426,R6C,220
1. Cores,Core-11762,R6C,384
1. Cores,Core-10172,R6D,50
1. Cores,Core-11005,R6D,"4,668"
1. Cores,Core-11099,R6D,28
1. Cores,Core-11100,R6D,60
1. Cores,Core-11101,R6D,23
1. Cores,Core-11102,R6D,16
1. Cores,Core-11105,R6D,30
1. Cores,Core-11106,R6D,28
1. Cores,Core-11107,R6D,4
1. Cores,Core-11109,R6D,60
1. Cores,Core-11110,R6D,104
1. Cores,Core-11122,R6D,6
1. Cores,Core-11125,R6D,2
1. Cores,Core-11206,R6E,"14,400"
1. Cores,Core-10072,RETURNS,512
1. Cores,Core-10084,RETURNS,2
1. Cores,Core-10281,RETURNS,7
1. Cores,Core-10319,RETURNS,24
1. Cores,Core-10683,RETURNS,3
1. Cores,Core-11100,RETURNS,6
1. Cores,Core-11102,RETURNS,6
1. Cores,Core-11105,RETURNS,6
1. Cores,Core-11235,RETURNS,330
1. Cores,Core-11463,RETURNS,3
1. Cores,Core-11465,RETURNS,12
1. Cores,Core-11467,RETURNS,6
1. Cores,Core-11470,RETURNS,12
1. Cores,Core-11471,RETURNS,12
1. Cores,Core-11499,RETURNS,15
1. Cores,Core-11166,SUPPLIES,2251
1. Cores,Core-11600,SUPPLIES,16100
1. Cores,Core-11805,SUPPLIES,"27,328"
1. Cores,Core-11917,SUPPLIES,707
1. Cores,RWC-AvantGrub,SUPPLIES,"200,000"
1. Cores,RWC-Deal Guys,SUPPLIES,"180,000"
1. Cores,RWC-NovaSupply,SUPPLIES,"60,000"
1. Cores,RWC-Superdosing,SUPPLIES,"50,000"
1. Cores,RWC-WittyYeti,SUPPLIES,"15,000"
1. Cores,SUP-10079,SUPPLIES,48
1. Cores,SUP-10082,SUPPLIES,336
1. Cores,SUP-10200,SUPPLIES,"1,750"
1. Cores,Core-10253,X01,13
1. Cores,Core-11915,X02,"14,974"
1. Cores,Core-11282,X04,"4,726"
1. Cores,Core-11609,X05,"120,000"
1. Cores,Core-11864,X05,"24,500"
1. Cores,Core-11076,X07,"293,000"
1. Cores,Core-10256,X08,"2,160"
1. Cores,Core-11211,X08,"133,650"
1. Cores,Core-10256,X09,"2,400"
1. Cores,Core-11808,X09,432
1. Cores,Core-10256,X10,"7,400"
1. Cores,Core-11205,X12,"78,490"
1. Cores,Core-11205,X13,"85,732"
1. Cores,Core-11199,X14,"25,875"
1. Cores,Core-11211,X15,"118,300"
1. Cores,Core-10263,X16,884
1. Cores,Core-11506,XMAS RACK 1,"4,800"
1. Cores,Core-11508,XMAS RACK 1,1
1. Cores,Core-11515,XMAS RACK 1,1
1. Cores,Core-11524,XMAS RACK 1,10
1. Cores,Core-11525,XMAS RACK 1,10
1. Cores,Core-11746,XMAS RACK 1,19
1. Cores,Core-11535,Y04,"92,000"
1. Cores,Core-11559,Y04,"57,000"
1. Cores,Core-11799,Y05,"1,346"
1. Cores,Core-11961,Y05,"1,822"
1. Cores,Core-11226,Y06,"26,224"
1. Cores,Core-11226,Y07,3149
1. Cores,Core-11808,Y08,288
1. Cores,Core-11225,Y09,"93,852"
1. Cores,Core-11152,Y10,188
1. Cores,Core-11609,Y10,80000
1. Cores,Core-11546,Y11,2210
1. Cores,Core-10901,Y12,12958
1. Cores,Core-11296,Y14,2637
1. Cores,Core-10255,Z02,12000
1. Cores,Core-11255,Z02,2100
1. Cores,Core-11829,Z03,54544
1. Cores,Core-10294,Z04,1080
1. Cores,Core-11239,Z04,5
1. Cores,Core-11809,Z04,2052
1. Cores,Core-11838,Z04,1
1. Cores,Core-10078,Z05,95
1. Cores,Core-11200,Z05,20468
1. Cores,Core-11199,Z06,72000
1. Cores,Core-11755,Z06,196
1. Cores,Core-10902,Z07,1376
1. Cores,Core-11756,Z07,394
1. Cores,Core-11060,Z08,"9,226"
1. Cores,SUP-10019,Z08,1000
1. Cores,SUP-10117,Z08,1000
1. Cores,SUP-10160,Z08,1000
1. Cores,SUP-10162,Z08,500
1. Cores,SUP-10177,Z08,"1,000"
1. Cores,Core-11115,Z09,"4,557"
1. Cores,Core-11784,Z10,15
1. Cores,Core-11920,Z10,318
1. Cores,Core-10244,Z11,1743
1. Cores,Core-10978,Z11,159
1. Cores,Core-11354,Z11,368
1. Cores,Core-10115,Z12,1536
1. Cores,SUP-10177,Z12,1611
1. Cores,SUP-10181,Z12,750
1. Cores,SUP-10189,Z12,1083
1. Cores,Core-10316,Z13,2275
1. Cores,Core-11138,Z13,"3,400"
1. Cores,Core-11200,Z13,12635
1. Cores,Core-11504,Z13,707
1. Cores,Core-11982,Z13,336
1. Cores,Core-11983,Z13,336
1. Cores,Core-11358,Z14,805
1. Cores,Core-11359,Z14,656
1. Cores,Core-11383,Z14,505
1. Cores,Core-11385,Z14,514
1. Cores,Core-11680,Z14,8937
1. Cores,Core-11681,Z14,4
1. Cores,Core-11682,Z14,8292
1. Cores,Core-11683,Z14,"2,038"
1. Cores,Core-11684,Z14,1882
1. Cores,Core-11685,Z14,5829
1. Cores,Core-11686,Z14,"1,686"
1. Cores,Core-11687,Z14,"1,620"
1. Cores,Core-11688,Z14,"1,626"
1. Cores,Core-11689,Z14,"1,620"
1. Cores,Core-11690,Z14,1363
1. Cores,Core-11692,Z14,"1,136"
1. Cores,Core-11693,Z14,"1,106"
1. Cores,Core-11695,Z14,"1,296"
1. Cores,Core-11697,Z14,978
1. Cores,Core-11698,Z14,"1,008"
1. Cores,Core-11699,Z14,"1,108"
1. Cores,Core-11700,Z14,976
1. Cores,Core-11701,Z14,882
1. Cores,Core-11702,Z14,918
1. Cores,Core-11703,Z14,696
1. Cores,Core-11704,Z14,952
1. Cores,Core-11705,Z14,2313
1. Cores,Core-11706,Z14,678
1. Cores,Core-11708,Z14,452
1. Cores,Core-11709,Z14,418
1. Cores,Core-11710,Z14,390
1. Cores,Core-11711,Z14,364
1. Cores,Core-11712,Z14,6
1. Cores,Core-11713,Z14,"1,146"
1. Cores,Core-11715,Z14,190
1. Cores,Core-11716,Z14,168
1. Cores,Core-11717,Z14,159
1. Cores,Core-11719,Z14,120
1. Cores,Core-11720,Z14,42
1. Cores,Core-11721,Z14,12
1. Cores,Core-11722,Z14,29
1. Cores,Core-11723,Z14,24
1. Cores,Core-11724,Z14,24
1. Cores,Core-11727,Z14,24
1. Cores,Core-11728,Z14,24
1. Cores,Core-11729,Z14,18
1. Cores,Core-11730,Z14,15
1. Cores,Core-11731,Z14,10
1. Cores,Core-11732,Z14,8
1. Cores,Core-11733,Z14,6
1. Cores,Core-11734,Z14,12
1. Cores,Core-11735,Z14,6
1. Cores,Core-10084,Z16,1
1. Cores,Core-10259,Z16,109302
1. Cores,Core-11256,Z16,4216
1. Cores,Core-10070,Z17,180
1. Cores,Core-10109,Z17,3325
1. Cores,Core-11807,Z18,7680
1. Cores,Core-11916,Z18,10724
1. Cores,Core-11559,Z19,268891
1. Cores,Core-11819,Z19,3757
1. Cores,Core-10216,Z20,648
1. Cores,Core-11203,Z21,"1,250"
1. Cores,Core-11139,Z22,8016
1. Cores,Core-11637,Z22,620
1. Cores,Core-11923,Z22,12
1. Cores,Core-10000,Z23,"4,832"
1. Cores,Core-11074,Z23,"35,004"
1. Cores,Core-11209,Z23,"39,000"
1. Cores,Core-11559,Z23,"95,125"
1. Cores,Core-11611,Z23,"42,786"
1. Cores,Core-11623,Z23,390
1. Cores,Core-11900,Z23,"4,026"
