Warehouse,Product Code,Location,Quantity
1. Cores,Core-11605,D32,698
1. Cores,Core-11786,D34,108
1. Cores,Core-11788,D35,183
1. Cores,Core-11797,D36,802
1. Cores,Core-11932,D36,425
1. Cores,Core-11798,D37,2016
1. Cores,Core-10975,D38,484
1. Cores,Core-11964,D38,820
1. Cores,Core-11966,D38,"1,601"
1. Cores,Core-11973,D38,1438
1. Cores,Core-11981,D38,1715
1. Cores,Core-11951,D39,429
1. Cores,Core-11952,D39,912
1. Cores,Core-10085,D40,1902
1. Cores,Core-11798,D40,62
1. Cores,Core-11155,D41,162
1. Cores,Core-11156,D41,148
1. Cores,Core-11157,D41,81
1. Cores,Core-11161,D41,52
1. Cores,Core-11802,D43,1235
1. Cores,Core-11967,D43,1610
1. Cores,Core-11977,D43,12
1. Cores,Core-11725,D44,6
1. Cores,Core-11821,DOA,11
1. Cores,Core-11179,DOB,10
1. Cores,Core-11307,DOB,3
1. Cores,Core-11866,DOC,127
1. Cores,Core-11936,E01,5423
1. Cores,Core-11259,E02,92194
1. Cores,Core-11278,E03,215
1. Cores,Core-11264,E04,2650
1. Cores,Core-11615,E04,20
1. Cores,Core-11862,E05,1728
1. Cores,Core-11644,E06,14000
1. Cores,Core-11862,E07,4464
1. Cores,Core-10090,E08,100
1. Cores,Core-10093,E08,100
1. Cores,Core-10973,E08,113
1. Cores,Core-11314,E09,6047
1. Cores,Core-10898,E10,478
1. Cores,Core-11006,E10,7471
1. Cores,Core-11628,E10,1400
1. Cores,Core-11836,E10,474
1. Cores,Core-10214,E12,13
1. Cores,Core-11875,E13,1035
1. Cores,Core-11876,E13,148
1. Cores,Core-11877,E13,151
1. Cores,Core-11907,E14,2916
1. Cores,Core-11786,E15,276
1. Cores,Core-11197,E16,4118
1. Cores,Core-11318,E17,1664
1. Cores,Core-11869,E18,117
1. Cores,Core-11870,E18,420
1. Cores,Core-11880,E18,132
1. Cores,Core-10282,E19,1500
1. Cores,Core-11412,E19,180
1. Cores,Core-11624,E20,224350
1. Cores,Core-11120,E21,1000
1. Cores,Core-11190,E21,1168
1. Cores,Core-11749,E23,47
1. Cores,Core-11750,E23,11
1. Cores,Core-11751,E23,108
1. Cores,Core-11180,E24,753
1. Cores,Core-11181,E24,768
1. Cores,Core-11848,E24,96
1. Cores,Core-11849,E24,96
1. Cores,Core-11850,E24,96
1. Cores,Core-11283,E25,13
1. Cores,Core-11417,E25,5
1. Cores,Core-10056,E26,"1,124"
1. Cores,Core-10057,E26,924
1. Cores,Core-10060,E26,"1,199"
1. Cores,Core-10061,E26,849
1. Cores,Core-10900,E26,885
1. Cores,Core-11007,E26,2403
1. Cores,Core-11092,E26,57500
1. Cores,Core-11121,E26,33600
1. Cores,Core-11300,E27,5856
1. Cores,Core-10049,E28,159
1. Cores,Core-10094,E28,"5,393"
1. Cores,Core-10299,E28,70000
1. Cores,Core-11032,E28,461
1. Cores,Core-11177,E28,1978
1. Cores,Core-11243,E29,510
