Core Number,Internal Title,Vendor,Vendor's Title,Vendor SKU,Backup Vendor,Backup Vendor SKU,Restockable,Vendor Order Unit,Vendor Case Pack,MOQ (Pieces),Buffer Days,Minimum Level,Product URL,Note for Next Order,Case Pack (Pieces),Pieces Per Internal Box,Boxes per Case,Tags & Info,Tag 1,Tag 2,Tag 3,Tag 4,Hazmat,Active,Ignore Until,Notes
Core-11843,"16"" Black Plastic Catering Tray",Vendor 59,"Visions Black PET Plastic 16"" Thermoform Catering / Deli Tray - 25/Case",SKU 95318,Vendor 50,SKU 64105,Yes,Case,25,250,14,,Link,,25,,,,,,,2505,,Yes,,
Core-11844,"10"" Black Disposable Pie Server",Vendor 40,"Visions 10"" Black Disposable Plastic Pie Server - 72/Case",SKU 22009,Vendor 78,SKU 69547,Yes,Case,72,720,14,,Link,,72,,,,,,,2506,,Yes,,
Core-11845,"10"" Silver Disposable Pie Server",Vendor 13,"Silver Visions 10"" Heavy Weight Silver Plastic Pie Server - 72/Case",SKU 99368,Vendor 6,SKU 65132,Yes,Case,72,720,14,,Link,,72,,,,,,,2507,,Yes,,
Core-11846,"12""x12"" Kraft Basket Liner",Vendor 98,"Choice 12"" x 12"" Natural Kraft Basket Liner / Deli Wrap - 5000/Case",SKU 48396,Vendor 25,SKU 237,Yes,Case,"5,000","15,000",14,,Link,,5000,,,,,,,2508,,Yes,,
Core-11847,1.5 oz Stainless Steel Sauce Cup Round,Vendor 45,Choice 1.5 oz. Smooth Stainless Steel Round Sauce Cup - 12/Pack,SKU 50540,Vendor 20,SKU 70016,Yes,Case,12,576,14,,Link,,12,,,,,,,2509,,Yes,,
Core-11848,"No Pets, Shoes and Shirts Required Sign",Vendor 38,"No Pets, Shoes and Shirt Required Sign - Black and White, 9"" x 3""",SKU 52328,Vendor 5,SKU 71896,Yes,Case,1,12,14,,Link,,1,,,,,,,2510,,Yes,,
Core-11849,No Soliciting Sign,Vendor 100,"No Soliciting Sign - Black and White, 9"" x 3""",SKU 9237,Vendor 99,SKU 14058,Yes,Case,1,12,14,,Link,,1,,,,,,,2511,,Yes,,
Core-11850,No Food Or Drink Sign,Vendor 88,"No Food Or Drink Sign - Black and White, 9"" x 3""",SKU 67010,Vendor 1,SKU 76150,Yes,Case,1,12,14,,Link,,1,,,,,,,2512,,Yes,,
Core-11851,"16""x16"" Blue Microfiber Cleaning Cloth",Vendor 41,"Knuckle Buster MFMP16BL 16"" x 16"" Blue Microfiber Cleaning Cloth - 12/Pack",SKU 2176,Vendor 47,SKU 97529,Yes,Case,12,180,14,,Link,,12,,,,,,,2513,,Yes,,
Core-11852,"Sugarcane 2 Compartment Nacho Tray, 6.5""x7.5""",Vendor 28,"EcoChoice Biodegradable, Compostable Sugarcane / Bagasse Large 2 Compartment Nacho / Food Tray - 300/Case",SKU 95190,Vendor 94,SKU 21595,Yes,Case,300,"3,000",14,,Link,,300,,,,,,,2514,,Yes,,
Core-11853,10 Gallon Biohazard Waste Bag,Vendor 63,"10 Gallon 24"" x 24"" Red Isolation Infectious Waste Bag / Biohazard Bag High Density 12 Microns - 1000/Case",SKU 89395,Vendor 25,SKU 56098,Yes,Case,"1,000","10,000",14,,Link,,1000,,,,,,,2515,,Yes,,
Core-11854,"11"" Nylon Baster",Vendor 87,"11"" Heavy Duty Nylon Baster",SKU 96917,Vendor 27,SKU 18781,Yes,Case,1,12,14,,Link,,1,,,,,,,2516,,Yes,,
Core-11855,"9.5""x5.75"" Steak Weight",Vendor 78,"9 1/2"" x 5 3/4"" Cast Iron Steak Weight",SKU 48640,Vendor 45,SKU 25319,Yes,Case,1,3,14,,Link,,1,,,,,,,2517,,Yes,,
Core-11856,8 oz Disposable Banana Split Boat,Vendor 89,Carnival King 8 oz. Clear Plastic Banana Split Boat - 500/Case,SKU 49568,Vendor 83,SKU 42254,Yes,Case,500,10,14,,Link,,500,,,,,,,2518,,Yes,,
Core-11857,12 oz Disposable Banana Split Boat,Vendor 61,Carnival King 12 oz. Clear Plastic Banana Split Boat - 500/Case,SKU 93161,Vendor 94,SKU 71422,Yes,Case,500,10,14,,Link,,500,,,,,,,2519,,Yes,,
Core-11858,5 oz Clear Plastic Dessert Cup,Vendor 25,Choice 5 oz. Clear Plastic Dessert Cup - 1000/Case,SKU 8661,Vendor 52,SKU 54424,Yes,Case,"1,000","10,000",14,,Link,,1000,,,,,,,2520,,Yes,,
Core-11859,6 oz Paper Cone Cup,Vendor 51,Dart Solo 6RB-2050 Bare Eco-Forward 6 oz. White Rolled Rim Paper Cone Cup with Poly Bag Packaging - 5000/Case,SKU 63925,Vendor 86,SKU 85692,Yes,Case,"5,000","15,000",14,,Link,,5000,,,,,,,2521,,Yes,,
Core-11860,1/6 Size Biodegradable T-Shirt Bag,Vendor 65,Green Herc 1/6 Size Biodegradable Plastic T-Shirt Bag - 500/Case,SKU 22977,Vendor 23,SKU 1019,Yes,Case,500,"5,000",14,,Link,,500,,,,,,,2522,,Yes,,
Core-11861,10 Hour Votive Candle- White,Vendor 35,Leola Candle 10 Hour White Votive Candle - 288/Case,SKU 62264,Vendor 71,SKU 64691,Yes,Case,288,"2,880",14,,Link,,288,,,,,,,2523,,Yes,,
Core-11862,15 Hour Votive Cande- White,Vendor 53,Leola Candle 15 Hour White Votive Candle - 144/Case,SKU 82491,Vendor 33,SKU 12890,Yes,Case,144,"1,440",14,,Link,,144,,,,,,,2524,,Yes,,
Core-11863,4-10 oz White Wall Mount Water Cup Dispenser,Vendor 67,San Jamar C3165WH Pull-Type White Wall Mount 4 - 10 oz. Water Cup Dispenser with Flip Cap,SKU 13981,Vendor 68,SKU 23591,Yes,Case,1,1,14,,Link,,1,,,,,,,2525,,Yes,,
Core-11864,Disposable Crab Bib,Vendor 37,Royal Paper PB24 Disposable Poly Crab Bib - 500/Box,SKU 2645,Vendor 47,SKU 73938,Yes,Case,500,5,14,,Link,,500,,,,,,,2526,,Yes,,
Core-11865,Disposable Lobster Bib,Vendor 91,Royal Paper PB25 Disposable Lobster Bib - 500/Box,SKU 80917,Vendor 96,SKU 14888,Yes,Case,500,5,14,,Link,,500,,,,,,,2527,,Yes,,
Core-11866,"Square 10"" x 10"" x 2 1/2"" White Auto-Popup Window Pie / Bakery Box",Vendor 41,"10"" x 10"" x 2 1/2"" White Auto-Popup Window Pie / Bakery Box",SKU 73470,Vendor 67,SKU 39931,Yes,Case,200,200,14,,Link,,200,,,,,,,2528,,Yes,,
Core-11867,Gray 4 Cup Carry Out Tray Fits 8-30oz Cups 1 Tray,Vendor 76,M51-0032 4 CUP CARRY OUT TRAY8-30oz 8.5x8.5,SKU 60999,Vendor 8,SKU 49753,Yes,Case,300,300,14,,Link,,300,,,,,,,2529,,Yes,,
Core-11868,Microwavable Meal Prep Container 12oz 1 Bowl & Lid Per Core,Vendor 69,12oz MICROWAVE BOWL W/LID BK,SKU 27070,Vendor 78,SKU 17958,Yes,Case,150,150,14,,,,150,,,,,,,2530,,Yes,,
Core-11869,Squeeze Handle Disher - Stainless Steel - 0.875 Oz #40 - 1 Disher,Vendor 83,#40 Round Stainless Steel Squeeze Handle Disher - 0.875 oz,SKU 42792,Vendor 66,SKU 44294,Yes,Piece,1,12,14,,Link,,1,,,,,,,2531,,Yes,,
Core-11870,Ladle One-Piece  - Stainless Steel - 1 Oz.  - 1 Ladle,Vendor 96,1 oz. One-Piece Stainless Steel Ladle,SKU 1988,Vendor 89,SKU 41315,Yes,Piece,12,48,14,,Link,,12,,,,,,,2532,,Yes,,
Core-11871,"Flat Roux Whisk - Stainless Steel - 10"" - 1 Whisk",Vendor 17,"10"" Stainless Steel Flat Roux Whisk",SKU 5566,Vendor 13,SKU 37997,Yes,Piece,1,3,14,,Link,,1,,,,,,,2533,,Yes,,
Core-11872,"Perforated Basting Spoon - Stainless Steel - 11"" - 1 Spoon",Vendor 100,"11"" Standard-Duty Perforated Stainless Steel Basting Spoon",SKU 7974,Vendor 27,SKU 99563,Yes,Piece,12,12,14,,Link,,12,,,,,,,2534,,Yes,,
Core-11873,"Slotted Basting Spoon - Stainless Steel - 11"" - 1 Spoon",Vendor 38,"11"" Standard-Duty Slotted Stainless Steel Basting Spoon",SKU 80882,Vendor 14,SKU 56598,Yes,Piece,12,12,14,,Link,,12,,,,,,,2535,,Yes,,
Core-11874,"Solid Basting Spoon - Stainless Steel - 11"" - 1 Spoon",Vendor 30,"11"" Standard-Duty Solid Stainless Steel Basting Spoon",SKU 19656,Vendor 87,SKU 8536,Yes,Piece,12,12,14,,Link,,12,,,,,,,2536,,Yes,,
Core-11875,"Wooden Spoon - Tan - 12"" - 1 Spoon",Vendor 35,"12"" Wooden Spoon",SKU 16733,Vendor 87,SKU 16666,Yes,Piece,12,12,14,,Link,,12,,,,,,,2537,,Yes,,
Core-11876,"Wooden Spoon - Tan - 14"" - 1 Spoon",Vendor 11,"14"" Wooden Spoon",SKU 52646,Vendor 42,SKU 30061,Yes,Piece,12,12,14,,Link,,12,,,,,,,2538,,Yes,,
Core-11877,"Wooden Spoon - Tan - 16"" - 1 Spoon",Vendor 80,"16"" Wooden Spoon",SKU 10247,Vendor 43,SKU 94154,Yes,Piece,12,12,14,,Link,,12,,,,,,,2539,,Yes,,
Core-11878,Ladle One-Piece  - Stainless Steel - 2 Oz. - 1 Ladle,Vendor 43,2 oz. One-Piece Stainless Steel Ladle,SKU 590,Vendor 83,SKU 76163,Yes,Piece,12,48,14,,Link,,12,,,,,,,2540,,Yes,,
Core-11879,Ladle One-Piece  - Stainless Steel - 4 Oz. - 1 Ladle,Vendor 26,4 oz. One-Piece Stainless Steel Ladle,SKU 99956,Vendor 3,SKU 4191,Yes,Piece,12,48,14,,Link,,12,,,,,,,2541,,Yes,,
Core-11880,Ladle One-Piece  - Stainless Steel - 6 Oz. - 1 Ladle,Vendor 31,6 oz. One-Piece Stainless Steel Ladle,SKU 36672,Vendor 31,SKU 57503,Yes,Piece,12,48,14,,Link,,12,,,,,,,2542,,Yes,,
Core-11881,Ladle One-Piece  - Stainless Steel - 8 Oz. - 1 Ladle,Vendor 5,8 oz. One-Piece Stainless Steel Ladle,SKU 33666,Vendor 62,SKU 64371,Yes,Piece,12,48,14,,Link,,12,,,,,,,2543,,Yes,,
Core-11882,Measuring Spoon Ladle Set - 6-Piece - 1 - 1.125 Tbsp. - 1 Set Of 6,Vendor 64,6-Piece Measuring Spoon Ladle Set,SKU 8095,Vendor 31,SKU 60836,Yes,Piece,1,1,14,,Link,,1,,,,,,,2544,,Yes,,
